Country,City,AccentCity,Region,Population,Latitude,Longitude
cn,hangzhou,Hangzhou,2,1878129,30.29365,120.161419
cn,nanchang,Nanchang,3,1871351,28.55,115.933333
gn,conakry,Conakry,4,1871185,9.5091667,-13.7122222
au,brisbane,Brisbane,4,1843459,-27.47101,153.024292
ca,vancouver,Vancouver,2,1837970,49.25,-123.133333
by,minsk,Minsk,4,1742123,53.9,27.5666667
de,hamburg,Hamburg,4,1733846,53.55,10
br,curitiba,Curitiba,18,1718433,-25.416667,-49.25
cn,qingdao,Qingdao,25,1642245,36.098611,120.371944
br,manaus,Manaus,4,1598227,-3.113333,-60.025278
cn,xinyang,Xinyang,9,1590668,32.095833,114.120278
es,barcelona,Barcelona,56,1570378,41.398371,2.1741
at,vienna,Vienna,9,1569315,48.2,16.366667
cn,urumqi,Ürümqi,13,1508225,43.800965,87.600459
br,recife,Recife,30,1478118,-8.05,-34.9
gh,kumasi,Kumasi,2,1468797,6.6833333,-1.6166667
au,perth,Perth,8,1446715,-31.95224,115.861397
ar,cordoba,Cordoba,5,1441007,-31.413496,-64.181052
cn,lanzhou,Lanzhou,15,1417742,36.056389,103.792222
br,belem,Belém,16,1407737,-1.45,-48.483333
cn,fushun,Fushun,19,1400646,41.7,123.883333
ec,quito,Quito,18,1399814,-0.2166667,-78.5
cn,luoyang,Luoyang,9,1390581,34.683611,112.453611
cn,hefei,Hefei,1,1388904,31.863889,117.280833
co,barranquilla,Barranquilla,4,1380437,10.963889,-74.796389
cd,lubumbashi,Lubumbashi,5,1374808,-11.666667,27.466667
br,porto alegre,Porto Alegre,23,1372763,-30.033333,-51.2
cn,handan,Handan,10,1358318,36.566667,114.533333
cn,suzhou,Suzhou,4,1343091,31.311389,120.618056
bd,khulna,Khulna,82,1342429,22.8,89.55
cm,douala,Douala,5,1338144,4.0502778,9.7
cm,yaounde,Yaoundé,11,1299446,3.8666667,11.5166667
de,munich,Munich,2,1246133,48.15,11.5833
ar,rosario,Rosario,21,1218497,-32.946818,-60.639317
cn,anshan,Anshan,19,1199275,41.123611,122.99
cn,xuzhou,Xuzhou,4,1199193,34.180454,117.15707
cn,fuzhou,Fuzhou,7,1179720,26.061389,119.306111
cn,guiyang,Guiyang,18,1171633,26.583333,106.716667
br,goiania,Goiânia,29,1171209,-16.666667,-49.266667
br,guarulhos,Guarulhos,27,1169601,-23.45068,-46.526175
cz,prague,Prague,52,1154508,50.083333,14.466667
ae,dubai,Dubai,3,1137376,25.258172,55.304717
az,baku,Baku,9,1116513,40.395278,49.882222
cg,brazzaville,Brazzaville,12,1115773,-4.2591667,15.2847222
cn,wuxi,Wuxi,4,1108647,31.568873,120.288573
am,yerevan,Yerevan,11,1093499,40.1811111,44.5136111
dk,copenhagen,Copenhagen,17,1089958,55.666667,12.583333
au,adelaide,Adelaide,5,1074168,-34.928661,138.598633
bg,sofia,Sofia,42,1062065,42.6833333,23.3166667
cn,datong,Datong,24,1052678,40.093611,113.291389
ge,tbilisi,Tbilisi,19,1049516,41.725,44.7908333
cn,xianyang,Xianyang,26,1034081,34.33778,108.70261
br,campinas,Campinas,27,1031573,-22.9,-47.083333
bf,ouagadougou,Ouagadougou,53,1031330,12.3702778,-1.5247222
cn,huainan,Huainan,1,1027655,32.626389,116.996944
cn,kunming,Kunming,29,1023674,25.038889,102.718333
be,brussels,Brussels,11,1019022,50.833333,4.333333
cn,shenzhen,Shenzhen,30,1002592,22.533333,114.133333
br,nova iguacu,Nova Iguaçu,21,1002129,-22.759188,-43.431887
cn,rongcheng,Rongcheng,30,1001985,23.528858,116.364159
cn,baoding,Baoding,10,995652,38.851111,115.490278
cn,benxi,Benxi,19,987717,41.288611,123.765
gb,birmingham,Birmingham,A7,984336,52.466667,-1.916667
ar,mendoza,Mendoza,13,973047,-32.890845,-68.827171
de,cologne,Cologne,7,968823,50.933333,6.95
ca,calgary,Calgary,1,968475,51.083333,-114.083333
br,maceio,Maceió,2,955010,-9.666667,-35.716667
co,cartagena,Cartagena,35,952036,10.399722,-75.514444
cn,changzhou,Changzhou,4,949018,31.783333,119.966667
br,sao goncalo,São Gonçalo,21,939101,-22.800278,-43.025556
br,sao luis,São Luís,13,917252,-2.516667,-44.266667
cn,huaibei,Huaibei,1,903039,33.974444,116.791667
bo,cochabamba,Cochabamba,2,900440,-17.3833333,-66.15
cn,pingdingshan,Pingdingshan,9,889675,33.738472,113.301194
cn,qiqihar,Qiqihar,8,882364,47.340833,123.967222
cd,mbuji-mayi,Mbuji-Mayi,4,874974,-6.15,23.6
ca,ottawa,Ottawa,8,874433,45.416667,-75.7
cn,wenzhou,Wenzhou,2,865672,27.999416,120.66682
ar,tucuman,Tucuman,24,828402,-26.824144,-65.2226
ca,edmonton,Edmonton,1,822319,53.55,-113.5
br,duque de caxias,Duque de Caxias,21,818339,-22.790321,-43.325009
bo,la paz,La Paz,4,812819,-16.5,-68.15
cn,nanning,Nanning,16,803788,22.816667,108.316667
fr,marseille,Marseille,B8,792823,43.285413,5.37606
cn,anyang,Anyang,9,781129,36.099444,114.328889
cn,hohhot,Hohhot,20,774477,40.810556,111.652222
es,valencia,Valencia,60,769897,39.466667,-0.366667
cn,xining,Xining,6,767531,36.616667,101.766667
cn,liuzhou,Liuzhou,16,763168,24.312582,109.389157
br,natal,Natal,22,763057,-5.783333,-35.216667
cn,qinhuangdao,Qinhuangdao,10,759718,39.931667,119.588333
cn,hengyang,Hengyang,11,759602,26.888056,112.615
cn,taian,Taian,25,750340,36.185278,117.12
br,teresina,Teresina,20,744526,-5.083333,-42.816667
cn,xinxiang,Xinxiang,9,743601,35.308889,113.867222
br,sao bernardo do campo,São Bernardo do Campo,27,743386,-23.7,-46.55
cn,hegang,Hegang,8,743307,47.4,130.366667
br,campo grande,Campo Grande,11,729164,-20.45,-54.616667
gr,athens,Athens,35,729139,37.9833333,23.7333333
co,cucuta,Cúcuta,21,721406,7.893907,-72.507821
cn,langfang,Langfang,10,720119,39.509722,116.694722
cn,ningbo,Ningbo,2,719867,29.878186,121.549453
cn,yantai,Yantai,25,719332,37.533333,121.4
cn,zhuzhou,Zhuzhou,11,709358,27.691868,113.152137
br,jaboatao,Jaboatão,30,702632,-8.116667,-35.016667
bd,rajshahi,Rajshahi,81,700206,24.3666667,88.6
ba,sarajevo,Sarajevo,1,696726,43.85,18.3833333
cn,zhangjiakou,Zhangjiakou,10,692602,40.81,114.879444
bj,cotonou,Cotonou,14,690584,6.35,2.4333333
cn,zigong,Zigong,32,689961,29.341622,104.776887
cn,fuxin,Fuxin,19,689050,42.015556,121.658889
cn,liaoyang,Liaoyang,19,687890,41.226111,123.056111
es,sevilla,Sevilla,51,686647,37.382408,-5.976133
ar,la plata,La Plata,1,684318,-34.921454,-57.954533
cf,bangui,Bangui,18,684190,4.3666667,18.5833333
br,osasco,Osasco,27,677869,-23.566667,-46.783333
cn,zhangdian,Zhangdian,25,669770,36.790556,118.063333
cn,puyang,Puyang,9,666322,35.702778,115.005278
cn,nantong,Nantong,4,666251,32.030278,120.874722
cn,mudanjiang,Mudanjiang,8,665915,44.583333,129.6
br,santo andre,Santo André,27,662387,-23.666667,-46.516667
ca,hamilton,Hamilton,8,653637,43.25,-79.833333
br,joao pessoa,João Pessoa,17,650896,-7.116667,-34.866667
cn,shaoyang,Shaoyang,11,649452,26.965893,111.241376
cn,guilin,Guilin,16,649352,25.281944,110.286389
de,frankfurt,Frankfurt,5,648034,50.116667,8.683333
dz,wahran,Wahran,9,646025,35.6911111,-0.6416667
ar,mar del plata,Mar del Plata,1,645771,-38.002278,-57.557539
ca,quebec,Quebec,10,645623,46.8,-71.25
cn,zhanjiang,Zhanjiang,30,637790,21.281452,110.342713
es,zaragoza,Zaragoza,52,635509,41.64531,-0.884861
cn,zhenjiang,Zhenjiang,4,632552,32.209167,119.434167
ca,winnipeg,Winnipeg,3,632069,49.883333,-97.166667
cn,dandong,Dandong,19,631973,40.129167,124.394722
cn,shaoguan,Shaoguan,30,628749,24.8,113.583333
cn,yancheng,Yancheng,4,628441,33.385556,120.125278
cn,foshan,Foshan,30,627348,23.026771,113.131483
br,contagem,Contagem,15,627132,-19.916667,-44.1
dj,jibuti,Jibuti,3,623891,11.595,43.1480556
cn,haikou,Haikou,31,615835,20.045833,110.341667
br,sao jose dos campos,São José dos Campos,27,613776,-23.183333,-45.883333
cn,taizhou,Taizhou,4,612356,32.493333,119.910627
cn,xingtai,Xingtai,10,611739,37.063056,114.494167
gb,glasgow,Glasgow,V2,610271,55.833333,-4.25
cn,jinzhou,Jinzhou,19,604269,41.107778,121.141667
ae,abu dhabi,Abu Dhabi,1,603687,24.466667,54.366667
cn,luancheng,Luancheng,10,597130,37.879167,114.651667
de,dortmund,Dortmund,7,594255,51.516667,7.45
de,stuttgart,Stuttgart,1,591688,48.766667,9.183333
cn,yingkou,Yingkou,19,591159,40.637318,122.502508
cn,zhangzhou,Zhangzhou,7,589831,24.513333,117.655556
gb,belfast,Belfast,R3,585994,54.583333,-5.933333
cn,xiamen,Xiamen,7,578337,24.479794,118.081869
ga,libreville,Libreville,1,578156,0.3833333,9.45
de,dusseldorf,Düsseldorf,7,577139,51.216667,6.766667
cn,kaifeng,Kaifeng,9,576915,34.744167,114.418611
de,essen,Essen,7,576914,51.45,7.016667
cn,bengbu,Bengbu,1,576648,32.940833,117.360833
cn,shihezi,Shihezi,13,572772,44.3,86.033333
ci,bouake,Bouaké,90,572149,7.693846,-5.030307
co,bucaramanga,Bucaramanga,26,571827,7.125393,-73.119804
er,asmara,Asmara,0,563948,15.3333333,38.9333333
br,uberlandia,Uberlândia,15,563545,-18.916667,-48.3
br,sorocaba,Sorocaba,27,558874,-23.483333,-47.45
fi,helsinki,Helsinki,13,558457,60.175556,24.934167
es,malaga,Málaga,51,557875,36.726666,-4.434802
do,santiago,Santiago,25,555911,19.45,-70.7
cu,santiago de cuba,Santiago de Cuba,15,555878,20.0247222,-75.8219444
cn,huaiyin,Huaiyin,4,555230,33.588611,119.019167
br,ribeirao preto,Ribeirão Prêto,27,551278,-21.166667,-47.8
cn,jiamusi,Jiamusi,8,549549,46.833333,130.35
ar,salta,Salta,17,548288,-24.785896,-65.411664
cn,neijiang,Neijiang,32,546854,29.583536,105.06216
de,bremen,Bremen,3,546429,53.083333,8.8
ae,sharjah,Sharjah,6,543942,25.35731,55.403304
cn,maanshan,Maanshan,1,540198,31.695678,118.498248
cn,yangzhou,Yangzhou,4,539715,32.397222,119.435833
cd,kisangani,Kisangani,9,539164,0.516667,25.2
eg,port said,Port Said,19,538377,31.2666667,32.3
cn,tanggu,Tanggu,28,535298,39.021111,117.646944
cn,jiangmen,Jiangmen,30,532419,22.583333,113.083333
cn,yueyang,Yueyang,11,528140,29.140833,113.111111
cn,cangzhou,Cangzhou,10,527681,38.316667,116.866667
br,cuiaba,Cuiabá,14,521961,-15.583333,-56.083333
de,hanover,Hanover,6,519144,52.366667,9.716667
cn,changde,Changde,11,517780,29.046378,111.678304
cn,jiaozuo,Jiaozuo,9,517540,35.239722,113.233056
cn,wuhu,Wuhu,1,507524,31.14607,118.57069
de,duisburg,Duisburg,7,505271,51.433333,6.75
cn,zhuhai,Zhuhai,30,501199,22.276944,113.567778
au,gold coast,Gold Coast,4,501175,-28.00029,153.430878
cn,shashi,Shashi,12,498780,30.307222,112.244722
au,newcastle,Newcastle,2,497961,-32.927792,151.784485
de,nuremberg,Nuremberg,2,497593,49.447778,11.068333
de,leipzig,Leipzig,13,492637,51.3,12.333333
br,aracaju,Aracaju,28,490184,-10.916667,-37.066667
eg,suez,Suez,15,488124,29.9666667,32.55
br,feira de santana,Feira de Santana,5,481926,-12.25,-38.95
by,gomel,Gomel,2,481000,52.4416667,30.9833333
de,dresden,Dresden,13,480801,51.05,13.75
cn,yichang,Yichang,12,476725,30.77135,111.321458
cn,yinchuan,Yinchuan,21,475101,38.468056,106.273056
cn,maoming,Maoming,30,473251,21.65,110.9
br,londrina,Londrina,18,471836,-23.3,-51.15
cn,jiaojiang,Jiaojiang,2,470804,28.680278,121.442778
br,juiz de fora,Juiz de Fora,15,470201,-21.751667,-43.352778
ar,san juan,San Juan,18,469958,-31.5375,-68.536389
gb,liverpool,Liverpool,H8,468946,53.416667,-3
cn,zunyi,Zunyi,18,466292,27.543056,106.823056
br,belford roxo,Belford Roxo,21,466101,-22.761995,-43.404654
cn,jiaxing,Jiaxing,2,466101,30.752198,120.749997
fr,lyon,Lyon,B9,463700,45.748457,4.846711
cd,kananga,Kananga,3,463556,-5.895833,22.417778
cn,xiangfan,Xiangfan,12,462956,32.042203,112.144794
cn,panzhihua,Panzhihua,32,461513,26.547902,101.705386
br,joinville,Joinville,26,461312,-26.3,-48.833333
be,antwerp,Antwerp,1,459805,51.216667,4.416667
br,niteroi,Niterói,21,456461,-22.90214,-43.130301
cn,hengshui,Hengshui,10,456356,37.732222,115.701111
ar,santa fe,Santa Fe,21,456044,-31.629484,-60.701036
gb,leeds,Leeds,H3,455124,53.8,-1.583333
br,sao joao de meriti,São João de Meriti,21,454855,-22.798614,-43.360894
cn,jining,Jining,25,450327,35.405,116.581389
dz,constantine,Constantine,4,450126,36.365,6.6147222
cn,chengde,Chengde,10,449325,40.770278,118.169722
cn,xuchang,Xuchang,9,449258,34.016667,113.816667
gb,sheffield,Sheffield,L9,447048,53.366667,-1.5
co,pereira,Pereira,24,440123,4.813333,-75.696111
cn,baoji,Baoji,26,438295,34.365907,107.359045
cm,garoua,Garoua,13,436932,9.3,13.4
cm,kousseri,Kousséri,12,435986,12.0783333,15.0308333
gb,edinburgh,Edinburgh,U8,435794,55.95,-3.2
br,ananindeua,Ananindeua,16,433956,-1.366667,-48.383333
co,santa marta,Santa Marta,38,431788,11.240791,-74.19904
eg,el mahalla el kubra,El Mahalla el Kubra,5,431088,30.9761111,31.1669444
gb,bristol,Bristol,B7,430714,51.45,-2.583333
cn,luqiao,Luqiao,2,427890,28.580835,121.377148
cn,chaozhou,Chaozhou,30,424787,23.665129,116.637864
cd,likasi,Likasi,5,422726,-10.981389,26.733333
eg,luxor,Luxor,23,422408,25.6833333,32.65
co,ibague,Ibagué,28,421689,4.438889,-75.232222
cn,shaoxing,Shaoxing,2,421283,30.011019,120.571528
eg,asyut,Asyut,17,420614,27.1827778,31.1827778
cn,luohe,Luohe,9,417356,33.571667,114.035278
br,florianopolis,Florianópolis,26,412731,-27.583333,-48.566667
br,santos,Santos,27,411411,-23.95,-46.333333
fr,toulouse,Toulouse,B3,411145,43.599516,1.433188
es,murcia,Murcia,31,410364,37.987041,-1.130042
cn,chaoyang,Chaoyang,19,410005,41.570278,120.458611
ca,kitchener,Kitchener,8,409111,43.45,-80.5
cn,shiyan,Shiyan,12,408055,32.6475,110.778056
ar,santiago del estero,Santiago del Estero,22,407636,-27.795112,-64.261489
ar,resistencia,Resistencia,3,406967,-27.46056,-58.983886
br,ribeirao das neves,Ribeirão das Neves,15,406840,-19.783333,-44.1
eg,tanta,Tanta,5,404934,30.7911111,30.9980556
cn,jixi,Jixi,8,403759,45.3,130.966667
cn,yangjiang,Yangjiang,30,399735,21.85,111.966667
gb,manchester,Manchester,I2,395516,53.5,-2.216667
br,vila velha,Vila Velha,8,394937,-20.333333,-40.283333
cn,weifang,Weifang,25,394732,36.71,119.101944
br,serra,Serra,8,394160,-20.116667,-40.3
ee,tallinn,Tallinn,1,394023,59.4338889,24.7280556
cm,bamenda,Bamenda,7,393871,5.9333333,10.1666667
co,bello,Bello,2,392945,6.337315,-75.557951
cn,xinpu,Xinpu,4,392444,34.599722,119.159444
af,qandahar,Qandahar,23,391230,31.613323,65.710126
br,diadema,Diadema,27,390641,-23.7,-46.616667
ar,corrientes,Corrientes,6,390481,-27.480596,-58.834099
br,campos,Campos,21,387422,-21.75,-41.3
de,bochum,Bochum,7,387061,51.483333,7.216667
br,maua,Mauá,27,386077,-23.666667,-46.45
bj,abomey-calavi,Abomey-Calavi,5,385823,6.45,2.35
br,betim,Betim,15,384038,-19.966667,-44.216667
co,pasto,Pasto,20,382242,1.213611,-77.281111
br,caxias do sul,Caxias do Sul,23,381277,-29.1689,-51.1785
cn,dezhou,Dezhou,25,379555,37.448611,116.2925
es,palma,Palma,7,378884,39.574337,2.655222
cz,brno,Brno,78,377407,49.2,16.633333
cn,zhoukou,Zhoukou,9,377061,33.633333,114.633333
al,tirana,Tirana,50,374801,41.3275,19.8188889
br,sao jose do rio preto,São José do Rio Prêto,27,374706,-20.8,-49.383333
cn,xuanhua,Xuanhua,10,373422,40.610278,115.044722
cn,pingxiang,Pingxiang,3,372123,27.616667,113.85
bf,bobo dioulasso,Bobo Dioulasso,51,370809,11.2,-4.3
br,olinda,Olinda,30,366761,-8.016667,-34.85
es,las palmas,Las Palmas,53,365418,28.099727,-15.41343
de,wuppertal,Wuppertal,7,363240,51.266667,7.183333
cn,zhaoqing,Zhaoqing,30,361969,23.051157,112.459722
br,carapicuiba,Carapicuíba,27,361120,-23.516667,-46.833333
gh,tamale,Tamale,6,360644,9.4,-0.8333333
ar,neuquen,Neuquen,15,359037,-38.951606,-68.059102
cn,anqing,Anqing,1,358661,30.509167,117.050556
co,manizales,Manizales,37,357819,5.06889,-75.517383
cn,sanmenxia,Sanmenxia,9,357767,34.774722,111.181389
co,neiva,Neiva,16,352859,2.927299,-75.281885
cn,anshun,Anshun,18,351936,26.25,105.933333
gh,tema,Tema,8,351556,5.6166667,-0.0166667
es,bilbao,Bilbao,59,349270,43.260919,-2.938764
br,campina grande,Campina Grande,17,348943,-7.216667,-35.883333
cu,camaguey,Camagüey,5,347572,21.3808333,-77.9169444
ca,london,London,8,346774,42.983333,-81.25
cn,chifeng,Chifeng,20,346654,42.268333,118.963611
ch,zurich,Zurich,25,346185,47.366667,8.55
cn,qitaihe,Qitaihe,8,345033,45.8,130.85
cd,boma,Boma,8,344522,-5.85,13.05
co,soledad,Soledad,4,342562,10.918433,-74.76459
cn,zhongshan,Zhongshan,1,342306,22.520576,113.382318
br,piracicaba,Piracicaba,27,342216,-22.716667,-47.633333
fr,nice,Nice,B8,341621,43.713644,7.25952
cn,aksu,Aksu,13,340020,41.123056,80.264444
gb,leicester,Leicester,H4,339240,52.633333,-1.133333
gb,leicester,Leicester,H5,339240,52.664913,-1.034894
br,macapa,Macapá,3,338937,0.033333,-51.05
bd,tungi,Tungi,81,337620,23.89,90.4058333
br,itaquaquecetuba,Itaquaquecetuba,27,336686,-23.483333,-46.35
cr,san jose,San José,8,335056,9.933333,-84.083333
br,bauru,Bauru,27,335031,-22.316667,-49.066667
cn,tieling,Tieling,19,333907,42.293056,123.841389
br,montes claros,Montes Claros,15,332384,-16.716667,-43.866667
bg,plovdiv,Plovdiv,51,332088,42.15,24.75
br,cariacica,Cariacica,8,330681,-20.266667,-40.416667
bi,bujumbura,Bujumbura,2,330539,-3.3761111,29.36
br,canoas,Canoas,23,328297,-29.933333,-51.183333
de,bielefeld,Bielefeld,7,327198,52.033333,8.533333
cn,yanji,Yanji,5,326957,42.771389,129.423333
br,moji das cruzes,Moji das Cruzes,27,325753,-23.516667,-46.183333
br,sao vicente,São Vicente,27,324464,-23.966667,-46.383333
au,canberra,Canberra,1,324025,-35.27603,149.13435
co,villavicencio,Villavicencio,19,321721,4.142002,-73.626645
br,jundiai,Jundiaí,27,321595,-23.183333,-46.866667
br,pelotas,Pelotas,23,320680,-31.766667,-52.333333
cm,maroua,Maroua,12,319974,10.5955556,14.3247222
br,anapolis,Anápolis,29,319592,-16.333333,-48.966667
cu,holguin,Holguín,12,319114,20.8872222,-76.2630556
cn,shangrao,Shangrao,3,318769,28.453221,117.968604
by,hrodna,Hrodna,3,317366,53.6813889,23.8147222
cz,ostrava,Ostrava,85,317136,49.811852,18.255282
cn,baicheng,Baicheng,5,316970,45.616667,122.816667
es,valladolid,Valladolid,55,315859,41.655181,-4.72372
co,armenia,Armenia,23,315332,4.533889,-75.681111
de,bonn,Bonn,7,314081,50.733333,7.1
co,soacha,Soacha,33,313950,4.579368,-74.216819
ar,posadas,Posadas,14,313438,-27.367077,-55.896078
cn,jinxi,Jinxi,19,313247,40.764317,120.85327
br,vitoria,Vitória,8,312662,-20.316667,-40.35
cn,tongling,Tongling,1,312588,30.933333,117.816667
br,maringa,Maringá,18,311727,-23.416667,-51.916667
es,cordoba,Córdoba,51,311186,37.89155,-4.772748
cn,jingdezhen,Jingdezhen,3,310565,29.2947,117.207887
br,guaruja,Guarujá,27,310430,-24,-46.266667
cl,antofagasta,Antofagasta,3,309835,-23.65,-70.4
de,mannheim,Mannheim,1,309626,49.488333,8.464722
gb,coventry,Coventry,C7,308314,52.416667,-1.55
co,valledupar,Valledupar,10,308242,10.46314,-73.253224
bg,varna,Varna,61,307952,43.2166667,27.9166667
cn,dongying,Dongying,25,306450,37.456389,118.485556
eg,el faiyum,El Faiyûm,4,306421,29.3077778,30.84
br,porto velho,Pôrto Velho,24,306206,-8.766667,-63.9
br,franca,Franca,27,305047,-20.533333,-47.4
gb,kingston upon hull,Kingston upon Hull,G6,302297,53.716667,-0.333333
gb,cardiff,Cardiff,X5,302142,51.5,-3.2
by,brest,Brest,1,300716,52.1,23.7
gb,bradford,Bradford,B4,299310,53.783333,-1.75
ar,parana,Parana,8,299257,-31.731967,-60.523802
cn,luzhou,Luzhou,32,295056,28.872391,105.44049
cl,vina del mar,Vina del Mar,1,294553,-33.008056,-71.519722
br,blumenau,Blumenau,26,293955,-26.9222,-49.0615
br,foz do iguacu,Foz do Iguaçu,18,293526,-25.55,-54.583333
br,ponta grossa,Ponta Grossa,18,292179,-25.083333,-50.15
cm,bafoussam,Bafoussam,8,290798,5.4666667,10.4166667
br,paulista,Paulista,30,289977,-7.95,-34.883333
br,limeira,Limeira,27,289671,-22.561667,-47.402778
ca,victoria,Victoria,2,289625,48.433333,-123.35
cn,beihai,Beihai,16,289568,21.483333,109.1
cn,huizhou,Huizhou,30,289201,23.083333,114.4
es,vigo,Vigo,58,286585,42.232823,-8.722637
bd,rangpur,Rangpur,83,285586,25.75,89.25
br,viamao,Viamão,23,285274,-30.083333,-51.033333
eg,ismailia,Ismailia,7,284851,30.5833333,32.2666667
de,karlsruhe,Karlsruhe,1,284786,49.004722,8.385833
fr,nantes,Nantes,B5,284677,47.216509,-1.552379
br,suzano,Suzano,27,283319,-23.533333,-46.333333
ar,bahia blanca,Bahia Blanca,1,282950,-38.719595,-62.272432
cl,valparaiso,Valparaiso,1,282450,-33.047778,-71.601111
co,itagui,Itagüí,2,281858,6.171944,-75.611389
bd,narsingdi,Narsingdi,81,281110,23.9208333,90.7180556
cn,chuzhou,Chuzhou,1,280582,32.321944,118.297778
bd,barisal,Barisal,84,280437,22.7,90.3666667
ca,windsor,Windsor,8,278013,42.333333,-83.033333
ar,jujuy,Jujuy,10,277150,-24.194565,-65.297116
ec,cuenca,Cuenca,2,276964,-2.8833333,-78.9833333
cm,mokolo,Mokolo,12,275750,10.7402778,13.8027778
br,caucaia,Caucaia,6,275023,-3.7,-38.65
cn,kashi,Kashi,13,274717,39.454722,75.979722
fr,strasbourg,Strasbourg,C1,273506,48.600381,7.787355
af,herat,Herat,11,272880,34.348167,62.199673
cu,guantanamo,Guantánamo,10,272808,20.1444444,-75.2091667
br,petropolis,Petrópolis,21,272694,-22.510833,-43.184444
de,munster,Münster,7,272452,51.966667,7.633333
co,monteria,Montería,12,272424,8.747984,-75.881428
de,wiesbaden,Wiesbaden,5,272337,50.083333,8.25
de,gelsenkirchen,Gelsenkirchen,7,271647,51.516667,7.05
cd,tshikapa,Tshikapa,3,267508,-6.416667,20.8
ca,halifax,Halifax,7,266012,44.65,-63.6
cn,yingcheng,Yingcheng,12,265886,30.95,113.55
cn,wuzhou,Wuzhou,16,265846,23.483333,111.316667
cn,hulan ergi,Hulan Ergi,8,265344,47.204167,123.633333
de,monchengladbach,Mönchengladbach,7,264969,51.2,6.433333
cn,mianyang,Mianyang,32,264136,31.459339,104.754235
es,gijon,Gijón,34,262573,43.535731,-5.661519
de,augsburg,Augsburg,2,261842,48.366667,10.883333
co,sincelejo,Sincelejo,27,261190,9.304722,-75.397778
cn,tongliao,Tongliao,20,261110,43.6125,122.265278
au,wollongong,Wollongong,2,260918,-34.424,150.893448
br,uberaba,Uberaba,15,260847,-19.75,-47.916667
gb,stoke-on-trent,Stoke-on-Trent,N4,260420,53,-2.183333
cn,jiujiang,Jiujiang,3,258807,29.60794,115.887205
cn,jining,Jining,20,258757,41.0275,113.105833
cn,yining,Yining,13,257671,43.881111,81.245833
br,rio branco,Rio Branco,1,257645,-9.966667,-67.8
br,cascavel,Cascavel,18,257174,-24.95,-53.466667
cn,heze,Heze,25,254602,35.243056,115.441111
br,novo hamburgo,Novo Hamburgo,23,253846,-29.683333,-51.133333
cn,zhumadian,Zhumadian,9,253536,32.979444,114.029444
br,vitoria da conquista,Vitória da Conquista,5,253144,-14.85,-40.85
